Preschool,Primary School,Primary Education,*
1st-4th,Primary School,Primary Education,*
5th-6th,Primary School,Primary Education,*
7th-8th,High School,Secondary Education,*
9th,High School,Secondary Education,*
10th,High School,Secondary Education,*
11th,High School,Secondary Education,*
12th,High School,Secondary Education,*
HS-grad,High School,Secondary Education,*
Some-college,Undergraduate,Higher Education,*
Bachelors,Undergraduate,Higher Education,*
Doctorate,Graduate,Higher Education,*
Masters,Graduate,Higher Education,*
Assoc-acdm,Professional Education,Higher Education,*
Assoc-voc,Professional Education,Higher Education,*
Prof-school,Professional Education,Higher Education,*
